COMMUNE;LIBGEO;MED15;SEXE_1;SEXE_2;AGEREVQ_015;AGEREVQ_020;AGEREVQ_025;AGEREVQ_030;AGEREVQ_035;AGEREVQ_040;AGEREVQ_045;AGEREVQ_050;AGEREVQ_055;AGEREVQ_060;AGEREVQ_065;AGEREVQ_070;AGEREVQ_075;AGEREVQ_080;AGEREVQ_085;AGEREVQ_090;AGEREVQ_095;AGEREVQ_100;AGEREVQ_110;AGEREVQ_105;CS1_1;CS1_2;CS1_3;CS1_4;CS1_5;CS1_6;CS1_7;CS1_8;DIPLOME_1;DIPLOME_2;DIPLOME_3;EMPLOI_1;EMPLOI_2;EMPLOI_3;EMPLOI_9;MENAGE_1;MENAGE_2;MENAGE_3;MENAGE_4;MENAGE_5;TYPLOG_1;TYPLOG_3;TYPLOG_2;STOCC_1;STOCC_2;STOCC_3;STOCC_4
37001;Abilly;19 338;505;530;7,73;3,86;5,80;3,86;5,80;4,83;8,21;6,28;7,25;11,11;6,28;4,35;8,70;7,73;5,80;2,42;0,00;0,00;0,00;0,00;0,48;3,86;0,97;7,73;14,01;16,43;43,96;12,56;78,74;15,46;5,80;30,43;5,31;4,35;59,90;14,98;2,42;33,82;34,78;14,01;87,92;12,08;0,00;70,53;13,04;2,90;13,53
37002;Ambillou;20 205;676;676;7,84;1,88;5,27;9,41;9,04;14,67;11,28;7,52;8,26;7,13;8,28;3,77;1,13;3,01;1,51;0,00;0,00;0,00;0,00;0,00;0,00;3,01;5,27;19,58;19,58;16,19;21,46;14,91;55,57;19,58;24,85;47,44;6,40;4,14;42,02;12,80;6,40;49,32;26,36;5,12;90,74;5,87;3,39;82,46;6,40;7,53;3,61
37003;Amboise;19 756;5032;5494;8,29;6,27;5,82;6,94;6,28;7,11;7,15;7,49;6,74;8,65;8,15;5,07;4,55;4,95;3,93;2,06;0,52;0,05;0,00;0,00;0,19;3,22;6,39;12,29;16,29;14,11;33,78;13,73;60,62;16,55;22,83;33,54;6,66;4,52;55,28;21,28;10,29;31,43;30,55;6,46;63,52;5,59;30,90;53,68;15,43;22,48;8,41
37004;Anché;20 560;169;174;7,25;2,90;2,90;2,90;10,14;5,80;7,25;11,59;14,49;14,49;4,35;5,80;0,00;7,25;2,90;0,00;0,00;0,00;0,00;0,00;2,90;2,90;4,35;13,04;21,74;11,59;30,43;13,04;76,81;14,49;8,70;36,23;11,59;7,25;44,93;18,84;2,90;46,38;31,88;0,00;98,55;1,45;0,00;82,61;14,49;0,00;2,90
37005;Antogny-le-Tillac;19 396;201;201;1,25;7,50;10,00;10,00;7,50;6,25;2,50;6,25;17,50;2,50;6,25;5,00;7,50;2,50;2,50;2,50;2,50;0,00;0,00;0,00;2,50;0,00;1,25;16,25;20,00;26,25;28,75;5,00;60,00;15,00;25,00;45,00;12,50;2,50;40,00;15,00;6,25;33,75;42,50;2,50;100,00;0,00;0,00;81,25;18,75;0,00;0,00
37006;Artannes-sur-Indre;22 339;1034;1129;8,05;6,93;7,44;5,78;6,01;7,85;10,39;11,86;9,54;8,40;9,34;3,50;2,10;1,40;0,47;0,94;0,00;0,00;0,00;0,00;0,70;3,93;7,88;18,30;18,55;13,66;25,68;11,29;51,81;20,83;27,35;46,34;5,10;5,09;43,47;12,22;5,33;46,98;34,54;0,93;98,60;0,71;0,70;84,85;7,25;5,57;2,33
37007;Assay;19 405;64;88;6,45;0,00;3,23;3,23;16,13;12,90;6,45;0,00;0,00;12,90;12,90;6,45;9,68;3,23;0,00;6,45;0,00;0,00;0,00;0,00;3,23;3,23;0,00;9,68;22,58;9,68;45,16;6,45;58,06;0,00;41,94;16,13;16,13;6,45;61,29;12,90;3,23;38,71;45,16;0,00;100,00;0,00;0,00;74,19;12,90;0,00;12,90
37008;Athée-sur-Cher;22 022;1000;1035;8,11;3,93;5,16;7,62;11,06;10,32;9,09;7,86;5,90;6,39;7,37;4,42;4,42;2,21;3,69;1,72;0,25;0,49;0,00;0,00;0,98;5,16;6,88;13,76;19,16;14,50;30,22;9,34;55,04;18,67;26,29;41,77;6,88;6,88;44,47;8,85;7,37;48,65;28,99;6,14;94,84;3,93;1,23;86,73;8,85;1,47;2,95
37009;Autrèche;21 352;150;185;10,45;2,99;5,97;5,97;13,43;5,97;11,94;10,45;2,99;7,46;5,97;1,49;1,49;4,48;2,99;1,49;1,49;2,99;0,00;0,00;2,99;1,49;4,48;17,91;20,90;13,43;23,88;14,93;47,76;25,37;26,87;46,27;5,97;5,97;41,79;8,96;13,43;40,30;26,87;10,45;92,54;7,46;0,00;67,16;13,43;10,45;8,96
37010;Auzouer-en-Touraine;20 817;865;890;6,55;2,85;6,55;7,12;7,12;11,40;8,55;8,55;7,12;7,98;6,27;3,13;5,98;2,28;4,84;2,56;0,57;0,57;0,00;0,00;0,28;0,57;3,70;17,09;15,95;16,81;32,48;13,11;62,68;19,66;17,66;43,02;5,98;1,14;49,86;8,26;2,56;45,30;30,77;13,11;86,32;13,11;0,57;71,23;12,54;2,85;13,39
37011;Avoine;20 832;683;777;6,99;4,47;6,22;4,80;7,13;9,79;9,85;7,25;6,18;10,09;10,12;3,82;6,63;4,55;0,70;0,71;0,35;0,35;0,00;0,00;0,70;2,02;4,08;10,70;19,82;16,02;35,56;11,11;68,76;17,51;13,73;33,87;9,20;2,74;54,19;18,77;8,27;36,54;33,37;3,06;87,82;1,04;11,14;58,50;18,39;21,38;1,73
37012;Avon-les-Roches;20 004;220;200;2,38;2,38;5,95;16,67;3,57;14,29;4,76;5,95;7,14;7,14;9,52;4,76;8,33;2,38;1,19;3,57;0,00;0,00;0,00;0,00;3,57;2,38;4,76;8,33;9,52;22,62;39,29;9,52;65,48;10,71;23,81;35,71;7,14;5,95;51,19;15,48;3,57;47,62;28,57;4,76;100,00;0,00;0,00;82,14;14,29;0,00;3,57
37013;Avrillé-les-Ponceaux;18 918;210;176;7,86;3,90;2,60;6,54;7,83;6,51;15,58;15,59;6,46;3,90;5,17;3,87;3,87;2,58;5,17;1,29;1,28;0,00;0,00;0,00;0,00;6,52;9,10;13,01;11,72;24,67;24,52;10,46;64,90;16,91;18,19;42,93;11,68;6,52;38,87;12,83;5,23;43,18;38,77;0,00;98,72;0,00;1,28;88,29;3,89;5,21;2,62
37014;Azay-le-Rideau;20 643;1350;1495;9,31;5,62;6,15;6,85;8,61;8,44;7,56;8,79;9,84;4,22;8,08;3,16;5,62;4,04;3,34;0,35;0,00;0,00;0,00;0,00;0,88;3,34;6,85;14,76;19,86;10,37;29,35;14,59;58,35;14,24;27,42;38,66;6,68;5,98;48,68;15,99;10,54;40,60;28,47;4,39;83,48;2,64;13,88;69,77;15,64;9,31;5,27
37015;Azay-sur-Cher;23 239;1226;1268;9,05;3,40;4,25;7,45;6,58;11,85;9,01;9,62;12,90;8,69;6,67;4,36;1,88;1,66;1,80;0,84;0,00;0,00;0,00;0,00;0,81;4,23;10,04;22,69;15,30;10,37;25,10;11,47;51,81;19,84;28,35;46,37;6,55;6,01;41,07;10,36;6,45;43,79;36,37;3,03;96,30;0,61;3,10;87,69;9,04;1,45;1,83
37016;Azay-sur-Indre;20 684;144;154;8,43;3,33;1,65;6,69;10,16;8,36;16,76;8,33;4,98;6,60;4,93;4,95;8,25;4,95;0,00;1,64;0,00;0,00;0,00;0,00;0,00;6,71;8,40;13,36;21,74;8,34;29,66;11,80;64,92;15,02;20,07;51,84;0,00;6,71;41,45;14,73;6,62;45,56;33,09;0,00;91,75;0,00;8,25;81,75;18,25;0,00;0,00
37018;Ballan-Miré;23 932;3018;3551;6,97;3,71;4,01;5,98;6,97;8,03;9,17;9,32;9,93;7,88;8,20;6,83;4,86;3,49;2,97;0,99;0,61;0,08;0,00;0,00;0,08;3,42;9,85;16,66;15,60;9,17;33,49;11,74;50,75;17,81;31,44;38,40;5,53;4,93;51,13;13,86;8,71;37,80;35,75;3,88;80,37;3,50;16,13;70,98;12,73;10,91;5,39
37019;Barrou;17 969;190;205;0,00;2,53;7,59;7,59;2,53;7,59;6,33;8,86;3,80;17,72;11,39;7,59;8,86;5,06;1,27;0,00;1,27;0,00;0,00;0,00;7,59;2,53;6,33;10,13;11,39;11,39;46,84;3,80;75,95;8,86;15,19;25,32;7,59;10,13;56,96;18,99;7,59;32,91;37,97;2,53;100,00;0,00;0,00;73,42;20,25;6,33;0,00
37020;Beaulieu-lès-Loches;19 701;686;812;3,71;2,69;5,05;6,40;7,07;8,76;5,38;5,70;11,11;10,10;9,77;10,78;5,73;4,04;3,03;0,67;0,00;0,00;0,00;0,00;0,34;3,71;4,04;9,43;17,85;14,48;42,78;7,37;66,65;15,16;18,19;34,36;6,74;4,72;54,19;21,89;5,73;28,29;42,44;1,65;88,59;1,65;9,77;72,76;14,48;8,76;4,00
37021;Beaumont-la-Ronce;22 374;673;609;4,16;3,75;5,93;12,78;14,26;9,04;11,78;7,88;6,63;7,41;5,07;4,28;3,51;2,73;0,78;0,00;0,00;0,00;0,00;0,00;1,96;2,34;8,19;15,97;18,34;15,67;21,06;16,47;54,23;21,20;24,57;46,23;5,85;5,08;42,83;12,09;3,11;40,94;30,41;13,45;84,60;13,45;1,94;68,20;13,29;4,28;14,23
37022;Beaumont-en-Véron;22 581;1169;1139;6,17;5,43;5,86;4,74;6,03;7,96;9,05;13,08;10,04;9,43;6,81;4,40;4,18;3,31;2,42;1,10;0,00;0,00;0,00;0,00;0,65;2,17;9,51;14,18;15,82;15,31;29,20;13,16;61,78;16,51;21,70;42,06;7,14;3,68;47,12;14,69;5,42;36,32;39,03;4,54;96,29;2,39;1,33;79,77;14,79;2,20;3,25
37023;Beaumont-Village;18 366;93;142;11,63;4,65;0,00;2,33;2,33;4,65;11,63;9,30;4,65;16,28;9,30;2,33;2,33;4,65;13,95;0,00;0,00;0,00;0,00;0,00;6,98;2,33;0,00;6,98;16,28;11,63;41,86;13,95;74,42;9,30;16,28;25,58;4,65;9,30;60,47;18,60;11,63;37,21;27,91;4,65;100,00;0,00;0,00;86,05;13,95;0,00;0,00
37024;Benais;20 739;425;370;5,66;6,29;6,92;5,03;6,92;3,77;11,32;14,47;11,32;11,32;4,40;3,77;3,77;1,26;2,52;1,26;0,00;0,00;0,00;0,00;2,52;5,03;7,55;10,06;21,38;16,98;23,27;13,21;61,01;8,81;30,19;30,82;13,84;10,69;44,65;14,47;7,55;39,62;35,22;3,14;99,37;0,00;0,63;83,02;10,69;5,66;0,63
37025;Berthenay;22 941;324;298;13,01;3,25;8,94;6,50;6,50;6,50;7,32;10,57;10,57;11,38;4,07;4,07;1,63;3,25;1,63;0,81;0,00;0,00;0,00;0,00;1,63;0,81;9,76;11,38;21,14;13,82;25,20;16,26;53,66;26,02;20,33;46,34;4,07;3,25;46,34;6,50;10,57;50,41;30,89;1,63;100,00;0,00;0,00;100,00;0,00;0,00;0,00
37026;Betz-le-Château;17 866;240;264;4,89;5,92;1,00;3,93;3,00;8,91;6,89;4,96;11,86;8,93;9,94;4,95;11,92;8,94;3,98;2,97;0,00;0,00;0,00;0,00;8,89;1,99;1,99;5,93;9,85;9,87;47,67;13,81;62,41;25,76;11,83;17,78;2,97;11,87;67,38;15,97;0,99;39,36;39,72;3,95;100,00;0,00;0,00;93,04;4,97;0,00;1,99
37027;Bléré;20 873;1987;2409;6,41;4,67;5,71;5,78;8,69;8,35;6,93;6,49;6,42;9,30;7,13;5,28;5,52;6,22;3,33;2,75;0,57;0,45;0,00;0,00;0,33;3,97;5,89;11,70;15,23;14,57;38,83;9,48;66,48;14,57;18,95;34,19;5,80;5,44;54,58;19,66;9,12;30,81;32,36;8,05;77,48;6,37;16,15;61,12;18,98;11,82;8,08
37028;Bossay-sur-Claise;18 103;325;350;6,77;3,01;5,26;4,51;0,75;7,52;9,02;9,02;6,77;12,78;13,53;8,27;4,51;2,26;5,26;0,75;0,00;0,00;0,00;0,00;3,01;2,26;1,50;2,26;21,05;15,79;43,61;10,53;59,40;27,07;13,53;26,32;7,52;5,26;60,90;19,55;2,26;34,59;40,60;3,01;99,25;0,00;0,75;89,47;7,52;0,00;3,01
37029;Bossée;21 196;147;140;11,27;1,72;0,00;13,73;8,55;5,16;16,52;5,17;10,11;13,87;3,47;5,22;1,73;3,48;0,00;0,00;0,00;0,00;0,00;0,00;8,56;6,96;14,74;5,20;10,33;18,63;24,30;11,27;59,80;18,48;21,72;43,73;3,45;15,53;37,29;17,14;5,16;43,04;34,67;0,00;100,00;0,00;0,00;74,51;17,13;4,90;3,47
37030;Le Boulay;20 574;304;304;7,38;0,00;6,56;11,48;11,47;7,38;10,66;4,10;8,20;6,56;13,11;3,28;7,38;1,64;0,82;0,00;0,00;0,00;0,00;0,00;0,00;3,28;7,38;16,39;15,57;13,93;32,79;10,66;59,84;15,57;24,59;40,98;8,20;3,28;47,54;12,29;0,82;47,54;36,06;3,28;97,54;1,64;0,82;85,24;6,56;4,92;3,28
37031;Bourgueil;20 788;1545;1710;7,22;4,15;7,68;6,30;5,68;5,38;8,45;7,53;9,83;6,30;8,91;4,30;4,15;5,68;6,14;1,69;0,46;0,15;0,00;0,00;1,38;3,69;5,38;14,59;13,52;8,91;37,79;14,75;60,06;18,74;21,20;30,41;5,07;5,53;58,99;19,20;9,22;32,10;33,18;6,30;84,64;4,30;11,06;63,13;16,74;10,45;9,68
37032;Bournan;18 729;110;85;2,56;7,69;5,13;2,56;12,82;2,56;7,69;5,13;10,26;23,08;10,26;2,56;2,56;2,56;2,56;0,00;0,00;0,00;0,00;0,00;7,69;0,00;0,00;15,38;15,38;12,82;38,46;10,26;71,79;20,51;7,69;38,46;2,56;7,69;51,28;17,95;10,26;30,77;35,90;5,13;100,00;0,00;0,00;92,31;5,13;0,00;2,56
37033;Boussay;21 461;123;102;9,52;4,76;7,14;2,38;2,38;7,14;2,38;7,14;9,52;11,90;7,14;7,14;9,52;7,14;4,76;0,00;0,00;0,00;0,00;0,00;2,38;7,14;2,38;21,43;11,90;7,14;38,10;9,52;54,76;7,14;38,10;26,19;9,52;11,90;52,38;21,43;14,29;21,43;38,10;4,76;100,00;0,00;0,00;88,10;9,52;0,00;2,38
37034;Braslou;18 422;140;115;0,00;5,88;7,84;5,88;5,88;5,88;3,92;9,80;11,76;9,80;15,69;13,73;0,00;3,92;0,00;0,00;0,00;0,00;0,00;0,00;3,92;1,96;1,96;7,84;15,69;25,49;35,29;7,84;68,63;13,73;17,65;25,49;13,73;7,84;52,94;19,61;1,96;27,45;47,06;3,92;100,00;0,00;0,00;78,43;15,69;3,92;1,96
